# config  n_knots  n_nodes  x  order  rel_diff
2sg  20  25  1.659587e-01  LO  1.482641e-03
2sg  20  25  2.187762e-01  LO  1.895393e-03
2sg  20  25  2.884032e-01  LO  6.918721e-04
2sg  20  25  3.801894e-01  LO  6.045661e-05
2sg  20  25  5.011872e-01  LO  8.793183e-03
2sg  20  25  6.606934e-01  LO  6.071594e-02
2sg  20  25  2.187762e-04  NLO  1.614856e-03
2sg  20  25  2.884032e-04  NLO  7.542753e-04
2sg  20  25  3.801894e-04  NLO  2.147780e-03
2sg  20  25  5.011872e-04  NLO  1.587502e-03
2sg  20  25  6.606934e-04  NLO  2.871806e-03
2sg  20  25  8.709636e-04  NLO  2.710229e-03
2sg  20  25  1.148154e-03  NLO  3.884367e-03
2sg  20  25  1.513561e-03  NLO  4.223128e-03
2sg  20  25  1.995262e-03  NLO  5.280883e-03
2sg  20  25  2.630268e-03  NLO  6.173817e-03
2sg  20  25  3.467369e-03  NLO  7.043813e-03
2sg  20  25  4.570882e-03  NLO  8.361174e-03
2sg  20  25  6.025596e-03  NLO  8.739451e-03
2sg  20  25  7.943282e-03  NLO  9.886378e-03
2sg  20  25  1.047129e-02  NLO  8.898640e-03
2sg  20  25  1.380384e-02  NLO  8.417033e-03
2sg  20  25  1.819701e-02  NLO  4.269033e-03
2sg  20  25  2.398833e-02  NLO  2.929160e-04
2sg  20  25  3.162278e-02  NLO  9.255154e-03
2sg  20  25  4.168694e-02  NLO  2.106664e-02
2sg  20  25  5.495409e-02  NLO  3.005056e-02
2sg  20  25  7.244360e-02  NLO  4.693341e-02
2sg  20  25  9.549926e-02  NLO  3.287758e-02
2sg  20  25  1.258925e-01  NLO  1.680339e-02
2sg  20  25  1.659587e-01  NLO  2.618626e-02
2sg  20  25  2.187762e-01  NLO  2.844699e-03
2sg  20  25  2.884032e-01  NLO  5.541656e-03
2sg  20  25  3.801894e-01  NLO  1.270751e-02
2sg  20  25  5.011872e-01  NLO  2.293706e-02
2sg  20  25  6.606934e-01  NLO  6.861436e-02
2sg  20  25  2.187762e-04  NNLO  5.521771e-03
2sg  20  25  2.884032e-04  NNLO  4.732019e-03
2sg  20  25  3.801894e-04  NNLO  6.919987e-03
2sg  20  25  5.011872e-04  NNLO  5.950331e-03
2sg  20  25  6.606934e-04  NNLO  8.663954e-03
2sg  20  25  8.709636e-04  NNLO  7.344957e-03
2sg  20  25  1.148154e-03  NNLO  9.596307e-03
2sg  20  25  1.513561e-03  NNLO  6.860323e-03
2sg  20  25  1.995262e-03  NNLO  4.221698e-03
2sg  20  25  2.630268e-03  NNLO  2.571549e-03
2sg  20  25  3.467369e-03  NNLO  1.462998e-02
2sg  20  25  4.570882e-03  NNLO  1.946363e-02
2sg  20  25  6.025596e-03  NNLO  2.866018e-02
2sg  20  25  7.943282e-03  NNLO  2.469784e-02
2sg  20  25  1.047129e-02  NNLO  2.612752e-02
2sg  20  25  1.380384e-02  NNLO  1.770421e-02
2sg  20  25  1.819701e-02  NNLO  1.255493e-02
2sg  20  25  2.398833e-02  NNLO  8.959612e-05
2sg  20  25  3.162278e-02  NNLO  1.178794e-02
2sg  20  25  4.168694e-02  NNLO  3.190948e-02
2sg  20  25  5.495409e-02  NNLO  4.383697e-02
2sg  20  25  7.244360e-02  NNLO  7.041682e-02
2sg  20  25  9.549926e-02  NNLO  5.063250e-02
2sg  20  25  1.258925e-01  NNLO  2.559404e-02
2sg  20  25  1.659587e-01  NNLO  3.761463e-02
2sg  20  25  2.187762e-01  NNLO  7.601198e-03
2sg  20  25  2.884032e-01  NNLO  1.027224e-02
2sg  20  25  3.801894e-01  NNLO  2.579529e-02
2sg  20  25  5.011872e-01  NNLO  4.337395e-02
2sg  20  25  6.606934e-01  NNLO  5.962531e-02
1sg  40  41  2.187762e-04  LO  9.280494e-05
1sg  40  41  2.884032e-04  LO  1.052272e-04
1sg  40  41  3.801894e-04  LO  1.169266e-04
1sg  40  41  5.011872e-04  LO  1.277130e-04
1sg  40  41  6.606934e-04  LO  1.373896e-04
1sg  40  41  8.709636e-04  LO  1.457540e-04
1sg  40  41  1.148154e-03  LO  1.525983e-04
1sg  40  41  1.513561e-03  LO  1.577093e-04
1sg  40  41  1.995262e-03  LO  1.608677e-04
1sg  40  41  2.630268e-03  LO  1.618452e-04
1sg  40  41  3.467369e-03  LO  1.603996e-04
1sg  40  41  4.570882e-03  LO  1.562640e-04
1sg  40  41  6.025596e-03  LO  1.491267e-04
1sg  40  41  7.943282e-03  LO  1.385941e-04
1sg  40  41  1.047129e-02  LO  1.241235e-04
1sg  40  41  1.380384e-02  LO  1.048985e-04
1sg  40  41  1.819701e-02  LO  7.959875e-05
1sg  40  41  2.398833e-02  LO  4.596781e-05
1sg  40  41  3.162278e-02  LO  1.065411e-13
1sg  40  41  4.168694e-02  LO  1.899281e-05
1sg  40  41  5.495409e-02  LO  4.403144e-05
1sg  40  41  7.244360e-02  LO  7.935425e-05
1sg  40  41  9.549926e-02  LO  1.324429e-04
1sg  40  41  1.258925e-01  LO  2.158682e-04
1sg  40  41  1.659587e-01  LO  3.477481e-04
1sg  40  41  2.187762e-01  LO  5.385606e-04
